                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7271,                 2.7587,                 1.9681,                0.00084,                 0.0259,                0.00046,                0.00012,                    nan,                    nan,                    nan,             0.00065333,             0.00065333,             0.00065333
                      2,                 2.0302,                 2.6843,                 2.2043,                0.00744,                0.01566,                0.00373,                0.00121,                    nan,                    nan,                    nan,              0.0013055,              0.0013055,              0.0013055
                      3,                 1.9689,                  2.584,                  2.182,                 0.0046,                0.00181,                0.00312,                0.00055,                 4.9264,                 6.0425,                 13.525,               0.001943,               0.001943,               0.001943
                      4,                 1.8748,                 2.5596,                 2.0958,                0.01287,                0.05542,                 0.0073,                0.00249,                  3.311,                 22.792,                 4.7872,               0.001934,               0.001934,               0.001934
                      5,                 1.8616,                 2.4864,                  2.068,                0.09524,                0.04036,                0.02488,                 0.0085,                 3.2472,                  3.526,                  2.839,               0.001912,               0.001912,               0.001912
                      6,                 1.7915,                 2.4313,                  2.022,                0.02566,                0.02048,                0.01087,                0.00362,                 3.0311,                 3.5578,                   2.82,                0.00189,                0.00189,                0.00189
                      7,                 1.6904,                 2.3763,                 1.9805,                0.03214,                0.03133,                0.01232,                0.00385,                 3.0769,                 3.8863,                  2.759,               0.001868,               0.001868,               0.001868
                      8,                 1.6345,                 2.3025,                 1.9489,                0.06815,                0.05723,                0.02439,                0.00932,                 2.8076,                  3.343,                 2.4444,               0.001846,               0.001846,               0.001846
                      9,                 1.6718,                 2.3546,                 1.9373,                0.11069,                0.08193,                0.03488,                0.01412,                 2.5899,                 3.0759,                 2.2656,               0.001824,               0.001824,               0.001824
                     10,                 1.6244,                 2.3106,                 1.9188,                0.05794,                0.04096,                 0.0187,                0.00625,                 2.8599,                 3.3662,                 2.5168,               0.001802,               0.001802,               0.001802
                     11,                 1.5676,                 2.2118,                  1.891,                0.08396,                0.06928,                0.04428,                0.01884,                 2.5548,                 3.1944,                 2.2618,                0.00178,                0.00178,                0.00178
                     12,                 1.5986,                 2.2456,                 1.8885,                0.14982,                0.08313,                0.05831,                0.02551,                 2.4321,                 3.1187,                 2.1107,               0.001758,               0.001758,               0.001758
                     13,                  1.567,                 2.1675,                 1.8541,                 0.1136,                0.06928,                0.03967,                0.01646,                 2.5866,                 3.1456,                 2.1667,               0.001736,               0.001736,               0.001736
                     14,                  1.576,                 2.1552,                 1.8572,                0.12837,                0.09157,                 0.0488,                0.01967,                 2.5728,                 3.0057,                 2.2094,               0.001714,               0.001714,               0.001714
                     15,                 1.5323,                 2.1199,                 1.8312,                0.17625,                0.10181,                 0.0639,                0.02454,                 2.5015,                 2.9474,                 2.1666,               0.001692,               0.001692,               0.001692
                     16,                 1.4861,                 2.0997,                 1.8095,                0.11752,                 0.0799,                0.04919,                0.01814,                  2.453,                 3.1097,                  2.178,                0.00167,                0.00167,                0.00167
                     17,                 1.4519,                 2.0597,                  1.792,                0.18151,                0.13494,                0.07336,                0.03151,                 2.3782,                 2.8402,                 1.9824,               0.001648,               0.001648,               0.001648
                     18,                 1.4741,                 2.0516,                 1.7954,                0.18081,                0.13012,                0.07553,                0.03047,                 2.4124,                 2.8914,                 2.0532,               0.001626,               0.001626,               0.001626
                     19,                 1.5181,                 2.1192,                 1.8183,                0.18168,                0.11928,                0.06278,                0.02492,                 2.5179,                  2.833,                 2.1332,               0.001604,               0.001604,               0.001604
                     20,                 1.4677,                 2.0607,                 1.7844,                0.16768,                0.13434,                0.06401,                0.02533,                 2.3131,                 2.8418,                 1.9478,               0.001582,               0.001582,               0.001582
                     21,                 1.4681,                 2.0528,                 1.7774,                0.17074,                0.07349,                0.04571,                0.01821,                  2.452,                 3.2822,                 2.1238,                0.00156,                0.00156,                0.00156
                     22,                 1.4741,                 2.0593,                  1.778,                0.18576,                 0.1061,                0.07398,                0.03014,                 2.3566,                  2.949,                 1.9697,               0.001538,               0.001538,               0.001538
                     23,                 1.4576,                 2.0189,                 1.7671,                0.19959,                0.17651,                0.10757,                0.04111,                 2.3329,                 2.6649,                 1.9938,               0.001516,               0.001516,               0.001516
                     24,                 1.4304,                 2.0182,                  1.739,                0.20546,                0.09759,                0.07493,                0.03061,                 2.3853,                  2.962,                  1.975,               0.001494,               0.001494,               0.001494
                     25,                 1.4155,                 1.9739,                 1.7191,                0.20778,                0.13133,                0.09142,                0.03592,                 2.3286,                 2.8328,                 1.9617,               0.001472,               0.001472,               0.001472
                     26,                 1.4092,                   1.99,                 1.7301,                0.17022,                0.11807,                 0.0754,                0.02894,                 2.2899,                 2.9676,                 1.9559,                0.00145,                0.00145,                0.00145
                     27,                 1.4213,                 1.9667,                 1.7313,                0.18992,                 0.1512,                0.10109,                0.04086,                 2.2731,                 2.6595,                 1.8889,               0.001428,               0.001428,               0.001428
                     28,                 1.3844,                 1.9381,                 1.6978,                0.17984,                0.13975,                0.08274,                0.03403,                 2.3164,                 2.9021,                 1.9449,               0.001406,               0.001406,               0.001406
                     29,                 1.3686,                 1.9169,                 1.7016,                0.19723,                0.14819,                0.10087,                0.03948,                 2.2786,                 2.7027,                   1.93,               0.001384,               0.001384,               0.001384
                     30,                 1.4009,                 1.9568,                 1.7056,                0.20075,                0.11807,                0.08751,                0.03533,                 2.3085,                 2.8891,                 1.9324,               0.001362,               0.001362,               0.001362
                     31,                 1.3957,                 1.9765,                 1.7084,                0.19426,                0.11687,                0.08421,                0.03432,                 2.3033,                 2.9179,                 1.9022,                0.00134,                0.00134,                0.00134
                     32,                 1.3404,                 1.9044,                 1.6788,                0.17617,                0.16325,                0.09622,                0.03758,                 2.3162,                 2.7061,                 1.9267,               0.001318,               0.001318,               0.001318
                     33,                 1.3719,                 1.9368,                 1.6928,                0.18375,                0.15422,                0.09671,                0.03681,                 2.3021,                 2.6688,                 1.9443,               0.001296,               0.001296,               0.001296
                     34,                 1.3691,                 1.9211,                  1.702,                0.21715,                0.17229,                  0.106,                0.04113,                 2.2935,                  2.675,                 1.9537,               0.001274,               0.001274,               0.001274
                     35,                 1.3581,                 1.8858,                 1.6865,                0.19655,                0.15964,                0.09945,                0.03893,                 2.2775,                 2.6762,                  1.932,               0.001252,               0.001252,               0.001252
                     36,                 1.3752,                 1.8742,                  1.686,                0.22381,                0.18735,                0.10299,                0.04233,                 2.2272,                 2.6517,                 1.8962,                0.00123,                0.00123,                0.00123
                     37,                 1.3106,                  1.831,                 1.6596,                0.18833,                0.11807,                0.07563,                0.02997,                 2.2918,                 3.0542,                 1.9596,               0.001208,               0.001208,               0.001208
                     38,                 1.2959,                  1.851,                 1.6415,                0.22848,                 0.1718,                0.11189,                0.04513,                 2.2055,                 2.6827,                 1.8583,               0.001186,               0.001186,               0.001186
                     39,                 1.2837,                 1.8159,                 1.6563,                0.20551,                0.13012,                0.07652,                0.02961,                 2.3146,                 3.0798,                 1.9616,               0.001164,               0.001164,               0.001164
                     40,                  1.291,                 1.7975,                 1.6441,                0.23051,                0.15964,                0.11334,                0.04413,                 2.2534,                  2.752,                 1.8821,               0.001142,               0.001142,               0.001142
                     41,                 1.3458,                 1.8723,                 1.6701,                0.21713,                0.14819,                0.09428,                0.03655,                 2.3154,                 2.7943,                 1.9336,                0.00112,                0.00112,                0.00112
                     42,                 1.3215,                 1.8188,                 1.6416,                0.21713,                 0.1753,                0.11092,                0.04584,                 2.2298,                 2.6906,                 1.8772,               0.001098,               0.001098,               0.001098
                     43,                 1.3223,                 1.8296,                 1.6586,                0.18515,                0.16687,                0.09928,                0.03723,                 2.2781,                 2.7982,                 1.9162,               0.001076,               0.001076,               0.001076
                     44,                 1.3362,                 1.8409,                 1.6482,                0.22189,                0.12048,                0.08988,                0.03601,                 2.1837,                 2.9068,                 1.8559,               0.001054,               0.001054,               0.001054
                     45,                  1.278,                   1.78,                 1.6178,                0.24455,                0.18855,                0.13453,                0.05386,                 2.2178,                 2.5798,                 1.8271,               0.001032,               0.001032,               0.001032
                     46,                 1.2493,                 1.7149,                  1.607,                0.25316,                0.18253,                0.12634,                0.05404,                 2.1622,                 2.6652,                 1.8317,                0.00101,                0.00101,                0.00101
                     47,                  1.303,                 1.8208,                 1.6408,                0.19924,                0.16325,                0.10557,                0.04181,                 2.2077,                 2.7323,                 1.8755,               0.000988,               0.000988,               0.000988
                     48,                 1.2921,                 1.7792,                 1.6176,                0.21924,                 0.1747,                 0.0994,                0.03953,                 2.2779,                 2.8026,                 1.8931,               0.000966,               0.000966,               0.000966
                     49,                 1.2758,                 1.7787,                 1.6203,                0.23637,                0.17938,                0.11903,                0.05009,                 2.1862,                 2.7013,                 1.8654,               0.000944,               0.000944,               0.000944
                     50,                 1.2754,                 1.8096,                 1.6297,                0.25781,                0.18434,                0.12651,                0.05208,                 2.2244,                 2.5759,                 1.8549,               0.000922,               0.000922,               0.000922
                     51,                  1.274,                 1.7709,                   1.62,                0.23605,                0.13434,                0.10066,                0.04112,                 2.1969,                 2.9263,                 1.8679,                 0.0009,                 0.0009,                 0.0009
                     52,                 1.2621,                 1.7468,                 1.6104,                0.25239,                0.18385,                0.12418,                0.05042,                  2.226,                 2.7602,                 1.8723,               0.000878,               0.000878,               0.000878
                     53,                 1.2525,                 1.7325,                 1.6013,                0.22595,                0.17952,                0.11435,                0.04448,                  2.239,                 2.7859,                 1.8824,               0.000856,               0.000856,               0.000856
                     54,                 1.2519,                 1.7322,                 1.6099,                0.26025,                 0.1848,                0.12785,                0.05281,                 2.2224,                 2.7523,                 1.8701,               0.000834,               0.000834,               0.000834
                     55,                 1.2379,                 1.7404,                 1.5959,                0.22586,                0.14819,                0.10005,                0.03938,                 2.3105,                   2.86,                 1.9431,               0.000812,               0.000812,               0.000812
                     56,                 1.2579,                 1.7225,                 1.6014,                0.24208,                0.19337,                0.12845,                0.05265,                 2.1623,                 2.6152,                 1.8223,                0.00079,                0.00079,                0.00079
                     57,                 1.2012,                 1.6579,                 1.5848,                0.27269,                0.18385,                0.13606,                0.05691,                 2.1635,                 2.6426,                 1.8484,               0.000768,               0.000768,               0.000768
                     58,                  1.224,                 1.6928,                 1.5751,                  0.228,                0.15904,                0.10622,                 0.0432,                 2.2378,                 2.8132,                 1.8673,               0.000746,               0.000746,               0.000746
                     59,                 1.1942,                 1.6578,                 1.5547,                0.25807,                0.20783,                0.13579,                0.05561,                 2.2102,                 2.5822,                 1.8838,               0.000724,               0.000724,               0.000724
                     60,                 1.1766,                 1.6317,                 1.5481,                0.26028,                0.17892,                 0.1368,                0.05703,                 2.1665,                 2.7277,                 1.8222,               0.000702,               0.000702,               0.000702
